model,augustus/honor,augustus/hypocrisy,augustus/integrity,augustus/opportunism,bismarck/honor,bismarck/hypocrisy,bismarck/integrity,bismarck/opportunism,catherine_the_great/honor,catherine_the_great/hypocrisy,catherine_the_great/integrity,catherine_the_great/opportunism,cromwell/honor,cromwell/hypocrisy,cromwell/integrity,cromwell/opportunism,gandhi/honor,gandhi/hypocrisy,gandhi/integrity,gandhi/opportunism,lbj/honor,lbj/hypocrisy,lbj/integrity,lbj/opportunism,lincoln/honor,lincoln/hypocrisy,lincoln/integrity,lincoln/opportunism,mao_zedong/honor,mao_zedong/hypocrisy,mao_zedong/integrity,mao_zedong/opportunism,napoleon/honor,napoleon/hypocrisy,napoleon/integrity,napoleon/opportunism,robespierre/honor,robespierre/hypocrisy,robespierre/integrity,robespierre/opportunism,stalin/honor,stalin/hypocrisy,stalin/integrity,stalin/opportunism,thatcher/honor,thatcher/hypocrisy,thatcher/integrity,thatcher/opportunism
anthropic/claude-opus-4.7,3.00,9.00,3.00,9.00,5.50,8.00,3.00,9.00,3.00,8.50,3.00,8.00,5.00,7.00,8.00,5.00,9.00,5.00,9.00,3.00,4.00,8.00,2.50,9.00,8.00,4.00,7.50,5.00,2.00,9.00,3.00,8.00,3.00,9.00,3.00,9.00,,8.00,8.00,3.00,1.00,10.00,3.00,9.00,7.00,5.00,8.00,3.00
deepseek/deepseek-v4-pro,3.00,8.50,3.00,9.00,4.50,3.50,2.00,9.00,3.00,7.50,3.50,8.00,3.00,7.50,7.00,6.50,8.00,6.00,9.00,2.00,3.50,7.50,3.00,7.50,8.00,3.00,9.00,2.50,2.00,9.00,2.50,8.50,2.50,8.50,3.50,9.00,2.00,8.00,9.00,1.00,1.00,9.00,2.00,9.00,7.00,6.00,8.00,1.50
google/gemini-3.1-pro-preview,3.50,9.00,2.00,9.00,4.00,7.00,3.00,9.00,3.50,8.00,3.50,8.00,4.00,8.00,7.50,7.00,8.50,4.00,9.00,3.00,4.00,7.00,3.00,8.00,8.00,4.00,8.00,4.00,2.00,8.50,3.00,8.00,3.00,8.00,3.00,9.00,2.50,9.00,9.00,3.00,1.00,9.00,2.50,9.00,7.00,5.00,8.00,3.00
meta-llama/llama-4-maverick,7.50,6.00,8.00,8.00,8.00,6.00,8.00,8.00,6.00,6.00,8.00,8.00,6.00,6.00,8.00,6.50,9.00,3.00,9.00,2.00,7.00,6.00,6.00,8.00,9.00,4.00,9.00,4.00,1.50,8.00,5.00,8.00,6.00,8.00,6.00,8.00,4.00,6.00,8.00,2.00,1.00,8.00,5.00,8.00,8.00,6.00,8.00,4.00
minimax/minimax-m2.7,6.50,8.00,6.00,8.00,5.00,8.00,6.00,8.00,4.00,8.00,5.00,8.00,3.00,8.00,6.00,7.00,8.50,5.00,8.00,,5.50,8.00,4.50,8.00,8.00,4.50,8.00,5.50,3.00,9.00,4.00,8.00,3.50,7.00,5.00,8.50,2.50,8.00,8.00,2.50,1.00,9.00,2.50,9.00,5.00,7.00,7.00,7.00
mistralai/mistral-large-2512,5.50,7.00,4.00,9.00,7.00,7.00,6.50,9.00,7.00,7.00,7.00,8.00,6.00,7.00,7.00,7.00,9.00,5.00,9.00,3.00,6.00,7.00,5.00,8.00,9.00,4.00,9.00,4.00,3.00,9.00,4.00,8.00,6.00,7.00,5.00,9.00,5.00,7.00,7.00,7.00,2.00,9.00,2.00,9.00,7.00,7.00,8.00,6.00
moonshotai/kimi-k2.6,4.00,8.00,3.00,8.00,5.00,5.50,3.50,8.00,4.00,8.00,5.00,,,8.00,7.00,7.00,9.00,6.00,8.50,3.00,4.00,7.00,3.50,7.50,8.00,4.00,8.00,3.50,2.00,9.00,3.00,8.00,4.00,8.00,3.50,9.00,3.50,8.00,7.00,,1.00,9.00,3.50,9.00,6.00,5.00,8.00,3.50
openai/gpt-5.5,3.00,8.00,3.00,8.50,5.00,5.50,4.00,8.00,3.00,8.00,4.00,8.00,3.00,7.00,6.50,5.50,8.00,4.00,8.00,3.00,4.00,7.00,3.00,7.00,8.00,4.00,8.00,3.50,2.00,8.00,2.00,8.00,3.00,8.00,3.00,8.00,3.00,6.50,7.00,3.50,1.00,8.50,2.00,8.50,7.00,4.50,8.00,3.50
qwen/qwen3.6-max-preview,4.00,8.00,4.50,9.00,6.50,6.00,3.50,9.00,4.00,7.50,4.00,8.00,3.00,7.50,8.00,7.00,9.00,3.50,8.50,2.00,5.00,7.00,3.00,8.00,8.00,2.50,8.50,2.00,2.50,8.50,4.50,7.00,3.50,8.00,3.00,9.00,2.00,8.00,8.00,1.50,1.00,10.00,4.00,9.00,7.00,6.00,8.00,2.00
x-ai/grok-4.20,4.00,8.00,3.50,8.50,5.50,6.00,5.00,8.00,4.00,7.50,4.00,8.00,6.00,6.00,7.50,6.00,8.50,6.00,8.00,5.00,4.00,7.50,3.00,8.00,8.00,3.50,8.50,5.50,2.00,8.00,3.50,8.00,4.00,8.00,4.00,8.00,3.50,6.50,7.50,3.00,1.00,8.50,3.50,8.00,7.00,4.00,8.00,3.50
z-ai/glm-5.1,3.00,8.00,3.00,9.00,5.50,7.50,3.00,9.00,4.00,8.00,3.50,8.00,3.50,7.00,8.00,6.50,9.00,4.50,9.00,2.00,4.00,7.00,3.00,8.50,9.00,3.00,9.00,3.50,2.00,9.00,2.00,9.00,2.50,8.00,3.50,9.00,2.00,9.00,8.50,4.00,1.00,10.00,1.50,9.50,6.00,6.00,8.50,3.50
